,PC1,PC2,PC3,PC4,PC5
$\alpha_0$ (eV/$\AA^2$),-0.21621972290288338,0.31513631791633945,0.8433703522076363,-0.18138928279986408,0.33130425542158504
$\alpha_1 + 2\beta_1$ (eV/$\AA^2$),0.27232192625155466,0.6128888929906701,-0.42964865844887146,-0.3169058117018967,0.5149569983347746
$\alpha_1 - \beta_1$ (eV/$\AA^2$),-0.43910386385792743,-0.5836885411938727,-0.1884802928926001,-0.31245651622517073,0.5773574181419666
$\alpha_2$ (eV/$\AA^2$),-0.5516041299988208,0.30458173028006236,-0.18577536351060134,0.7216593063743049,0.21830761137374263
$\beta_2$ (eV/$\AA^2$),0.6180699640200343,-0.3026449445098588,0.1846379506327892,0.4982443231856235,0.49402123308449203
