element,temperature_K,alpha1,beta1,alpha2,beta2,source,alpha0,alpha1_plus_2beta1,alpha1_minus_beta1,r_alpha2,family,PC1,PC2,PC3,PC4,PC5
Fe,962,-0.771,-0.924,-0.844,-0.115,compiled_csv,8.316,-2.619,0.15300000000000002,0.880083420228488,$\alpha_2$-dominated,-0.024786558907715826,-2.471201508894126,1.7486355851363555,-0.0128516776707247,-0.00018032228978671238
Fe,963,-0.77,-0.925,-0.846,-0.156,compiled_csv,8.476,-2.62,0.15500000000000003,0.8443113772446662,$\alpha_2$-dominated,-0.08768587036200022,-2.423752048881527,1.8194944428586366,-0.067882574148974,-0.00018368552197642717
Fe,981,-0.766,-0.916,-0.825,-0.137,compiled_csv,8.326,-2.598,0.15000000000000002,0.8575883575874661,$\alpha_2$-dominated,-0.05956794813722491,-2.430637532386331,1.7320904524280116,-0.011710103210775308,-0.00017871728128245604
Fe,1000,-0.77,-0.916,-0.831,-0.144,compiled_csv,8.398,-2.6020000000000003,0.14600000000000002,0.8523076923068181,$\alpha_2$-dominated,-0.06793486122897806,-2.414809141804305,1.7725730162809228,-0.029871256952167934,-0.0001811291318210355
Fe,1003,-0.762,-0.907,-0.699,-0.14,compiled_csv,8.054,-2.576,0.14500000000000002,0.833134684146802,$\alpha_2$-dominated,-0.14568357630822845,-2.3905181157262954,1.5383985510178715,0.18132422787722244,-0.00016330199490140597
Fe,1010,-0.766,-0.921,-0.784,-0.124,compiled_csv,8.192,-2.608,0.15500000000000003,0.8634361233470668,$\alpha_2$-dominated,-0.0777075852213701,-2.4517211317340997,1.6551692703770384,0.06948732133344196,-0.00017271704963651147
Fe,1023,-0.755,-0.93,-0.772,-0.152,compiled_csv,8.192,-2.615,0.17500000000000004,0.8354978354969312,$\alpha_2$-dominated,-0.13710028583692097,-2.457412233225725,1.6385723020119893,0.053233821233324465,-0.00017036323479581529
Fe,1024,-0.758,-0.925,-0.793,-0.14,compiled_csv,8.21,-2.608,0.16700000000000004,0.8499464094310291,$\alpha_2$-dominated,-0.09704632532237954,-2.4585397297273515,1.6584917580056224,0.03517764219271,-0.00017277226506897238
Fe,1033,-0.738,-0.936,-0.788,-0.147,compiled_csv,8.068,-2.6100000000000003,0.19800000000000006,0.8427807486622002,$\alpha_2$-dominated,-0.11663057171952763,-2.515016989687951,1.570975095538868,0.03443682253188824,-0.0001669062065323482
Fe,1034,-0.719,-0.911,-0.739,-0.129,compiled_csv,7.7459999999999996,-2.541,0.19200000000000006,0.8513824884782818,$\alpha_2$-dominated,-0.08117383602534804,-2.5073329784240386,1.3635162832824776,0.13153005917744665,-0.0001548937413590599
Fe,1039,-0.743,-0.897,-0.704,-0.131,compiled_csv,7.876,-2.537,0.15400000000000003,0.8431137724540801,$\alpha_2$-dominated,-0.10396308845414054,-2.4169902689548843,1.42979177803158,0.18350337515313403,-0.0001580233119412232
Fe,1081,-0.753,-0.9,-0.679,-0.069,compiled_csv,7.6579999999999995,-2.553,0.14700000000000002,0.9077540106939737,$\alpha_2$-dominated,-0.036382420010987036,-2.4785723260545693,1.3367747968186974,0.30181773841801574,-0.00015264738222503933
Fe,1090,-0.719,-0.902,-0.688,-0.125,compiled_csv,7.628,-2.523,0.18300000000000005,0.846248462483584,$\alpha_2$-dominated,-0.1012971849179067,-2.4816920694967277,1.280961585603434,0.21588628155523065,-0.00014879378093942723
Fe,1123,-0.676,-0.867,-0.69,-0.136,compiled_csv,7.332000000000001,-2.41,0.19099999999999995,0.8353510895873664,$\alpha_2$-dominated,-0.045293600602601326,-2.470421522372225,1.0709303053952721,0.19469593950576117,-0.00013866345947499781
Fe,1135,-0.716,-0.904,-0.692,-0.12,compiled_csv,7.5920000000000005,-2.524,0.18800000000000006,0.8522167487674234,$\alpha_2$-dominated,-0.09172220660067688,-2.499562230359553,1.2638977462319982,0.21601594052737713,-0.00014795534185012385
Fe,1150,-0.701,-0.891,-0.712,-0.109,compiled_csv,7.468,-2.483,0.19000000000000006,0.8672350791706855,$\alpha_2$-dominated,-0.0333504982807093,-2.516123632110796,1.190650600789,0.19707441616737487,-0.00014545628855356835
Fe,1158,-0.684,-0.89,-0.661,-0.127,compiled_csv,7.3020000000000005,-2.464,0.20599999999999996,0.8388324873085802,$\alpha_2$-dominated,-0.0898645682032711,-2.5155961127218625,1.0672178351351271,0.25369038766876256,-0.00013624194526063292
Fe,1180,-0.676,-0.906,-0.721,-0.124,compiled_csv,7.346,-2.488,0.22999999999999998,0.8532544378688127,$\alpha_2$-dominated,-0.05762964193926311,-2.5845085987034615,1.1140816935134585,0.16440522861831777,-0.00014040350515709944
V,300,-0.679,-0.452,-0.405,0.134,compiled_csv,5.706000000000001,-1.5830000000000002,-0.22700000000000004,0.751391465675786,$\alpha_2$-dominated,0.7350689147765846,-1.7648776765269938,-0.014522798149406591,0.9505538576716821,-9.294543918978236e-05
