,mass,a_val,alpha0,alpha1_plus_2beta1,alpha1_minus_beta1,alpha2,beta2,max_frequency
mass,1.0,0.0,0.010463998898825776,0.002055403989352699,-0.011987461028812246,0.08887212026648209,-0.06373265263378228,-0.6688809812627882
a_val,0.0,1.0,-0.10146766048757427,-0.04040984216527224,-0.011731176995980808,-0.049021631272619895,0.14384915699944,-0.08591581352959396
alpha0,0.010463998898825776,-0.10146766048757427,1.0,-0.1675265409372549,-0.2274979074976456,0.17258301098781903,-0.24204023222392432,0.5776200007505483
alpha1_plus_2beta1,0.002055403989352699,-0.04040984216527224,-0.1675265409372549,1.0,-0.6290492777988149,0.025847866236253975,-0.1009625356656504,-0.035944930747900804
alpha1_minus_beta1,-0.011987461028812246,-0.011731176995980808,-0.2274979074976456,-0.6290492777988149,1.0,0.07237738843280928,-0.3307674496308813,-0.07113994309152753
alpha2,0.08887212026648209,-0.049021631272619895,0.17258301098781903,0.025847866236253975,0.07237738843280928,1.0,-0.576775345564709,-0.05767262567406726
beta2,-0.06373265263378228,0.14384915699944,-0.24204023222392432,-0.1009625356656504,-0.3307674496308813,-0.576775345564709,1.0,-0.1574638371925631
max_frequency,-0.6688809812627882,-0.08591581352959396,0.5776200007505483,-0.035944930747900804,-0.07113994309152753,-0.05767262567406726,-0.1574638371925631,1.0
