,mass,a_val,alpha0,alpha1_plus_2beta1,alpha1_minus_beta1,alpha2,beta2,max_frequency
mass,1.0,7.976020079146637e-16,0.02548515659756285,0.007298659506069064,0.00036665442715897383,0.05079783074315691,-0.04742459129214625,-0.6750685887620833
a_val,7.976020079146637e-16,1.0,-0.10336994725875788,-0.029706973852255295,-0.009533456019915313,-0.05362896124431759,0.13437021020079457,-0.09858876241033414
alpha0,0.02548515659756285,-0.10336994725875788,1.0,-0.1791725710925808,-0.23486345789012994,0.1466674591510082,-0.2840789551307184,0.5784794038682656
alpha1_plus_2beta1,0.007298659506069064,-0.029706973852255295,-0.1791725710925808,1.0,-0.662433053814366,-0.017770778522182413,-0.1391707249101145,-0.06825882861280014
alpha1_minus_beta1,0.00036665442715897383,-0.009533456019915313,-0.23486345789012994,-0.662433053814366,1.0,0.0864992432901066,-0.3441653654293727,-0.08283899890115597
alpha2,0.05079783074315691,-0.05362896124431759,0.1466674591510082,-0.017770778522182413,0.0864992432901066,1.0,-0.6207869943691027,-0.08519592292259522
beta2,-0.04742459129214625,0.13437021020079457,-0.2840789551307184,-0.1391707249101145,-0.3441653654293727,-0.6207869943691027,1.0,-0.1858920953793204
max_frequency,-0.6750685887620833,-0.09858876241033414,0.5784794038682656,-0.06825882861280014,-0.08283899890115597,-0.08519592292259522,-0.1858920953793204,1.0
