feature,display_label,mean_raw,scale_raw,pc5_loading
alpha0,$\alpha_0$,7.1706835945447285,1.6277651119077636,0.33555188056587115
alpha1_plus_2beta1,$\alpha_1 + 2\beta_1$,-0.4624727553865384,0.9312019911470513,0.5119502503301984
alpha1_minus_beta1,$\alpha_1 - \beta_1$,-0.44885918922456247,0.5192716613900645,0.5710221812182781
alpha2,$\alpha_2$,-0.2686257460504884,0.5361406733587006,0.22110583450360233
beta2,$\beta_2$,-0.7514437671602239,0.6067442730931262,0.5003576272434955
