dataset,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,alpha1_plus_2beta1,alpha1_minus_beta1,r_alpha2,second_neighbor_family,C_pc5,hyperplane_residual_raw,PC1,PC2,PC3,PC4,PC5
dataframe000015,90.0,2.8,6.6929307,-0.34825087,-0.14433007,0.0012352039,-0.97673213,-0.63691103,-0.2039208,0.0012630319,$\beta_2$-dominated,0.0004671887250023158,0.0004671887250027487,-0.7028664717779506,-0.13946610032501425,-0.4451295112558109,0.1527712697110063,0.0004671887250023158
dataframe000014,80.0,2.4,6.0715675,-0.40107602,0.32355526,-0.0011028368,-0.71573234,0.2460345,-0.7246313,0.0015384803,$\beta_2$-dominated,-0.0005347524428835929,-0.0005347524428834856,0.4369121556639154,0.6981337467222436,-0.8347980051739294,0.44061982207983524,-0.0005347524428835929
dataframe000014,80.0,2.4,6.0715675,-0.40107602,-0.47319648,-0.0011028368,-0.71573234,-1.347469,0.07212046,0.0015384803,$\beta_2$-dominated,-0.00044495485071785717,-0.0004449548507177222,-0.8790741503526895,-1.154009601675971,-0.4964099412783408,0.5169716517335387,-0.00044495485071785717
dataframe000014,80.0,2.4,6.0715675,-0.40107602,0.57352453,-0.0011028368,-0.71573234,0.74597305,-0.97460055,0.0015384803,$\beta_2$-dominated,-0.0005628820775850388,-0.0005628820775849315,0.8497836897259854,1.2792167535550094,-0.9409623578901102,0.4166655223492994,-0.0005628820775850388
dataframe000014,80.0,2.4,6.0715675,-0.40107602,-0.47319648,-0.0011028368,-0.71573234,-1.347469,0.07212046,0.0015384803,$\beta_2$-dominated,-0.00044495485071785717,-0.0004449548507177222,-0.8790741503526895,-1.154009601675971,-0.4964099412783408,0.5169716517335387,-0.00044495485071785717
dataframe000014,80.0,2.4,6.0715675,-0.40107602,-0.5219835,-0.0011028368,-0.71573234,-1.4450431,0.120907485,0.0015384803,$\beta_2$-dominated,-0.0004394911036954577,-0.00043949110369523943,-0.9596551807088965,-1.2674208355807273,-0.47568959848310377,0.5216468797641379,-0.0004394911036954577
dataframe000013,80.0,2.0,8.774649,-0.21147713,-0.049239445,0.0012170734,-1.7706985,-0.309956,-0.16223769,0.0006868687,$\beta_2$-dominated,0.00042692115489612677,0.00042692115489665684,-1.6673046633571442,0.8823415786788654,0.21807779686625936,-0.8785068890934604,0.00042692115489612677
dataframe000013,80.0,2.0,8.774649,-0.21147713,-0.6986661,0.0012170734,-1.7706985,-1.6088094,0.48718897,0.0006868687,$\beta_2$-dominated,0.0005000714341895703,0.0005000714341901004,-2.7399556957546025,-0.6273272376558914,0.49389551607680593,-0.8162730330559292,0.0005000714341895703
dataframe000013,80.0,2.0,8.774649,-0.21147713,0.7177809,0.0012170734,-1.7706985,1.2240846,-0.929258,0.0006868687,$\beta_2$-dominated,0.00034052236675925014,0.0003405223667596692,-0.4004254701586037,2.665370684583601,-0.1076830676142598,-0.9520096155816062,0.00034052236675925014
dataframe000013,80.0,2.0,8.774649,-0.21147713,0.7177809,0.0012170734,-1.7706985,1.2240846,-0.929258,0.0006868687,$\beta_2$-dominated,0.00034052236675925014,0.0003405223667596692,-0.4004254701586037,2.665370684583601,-0.1076830676142598,-0.9520096155816062,0.00034052236675925014
dataframe000013,80.0,2.0,8.774649,-0.21147713,-0.6986661,0.0012170734,-1.7706985,-1.6088094,0.48718897,0.0006868687,$\beta_2$-dominated,0.0005000714341895703,0.0005000714341901004,-2.7399556957546025,-0.6273272376558914,0.49389551607680593,-0.8162730330559292,0.0005000714341895703
dataframe000014,100.0,3.0,6.8114195,-0.15266007,-0.011322534,0.0007465863,-1.3975301,-0.17530514,-0.14133754,0.00053393317,$\beta_2$-dominated,0.00027513051967522034,0.00027513051967545014,-1.015499890498684,0.3628751769711343,-0.7470866671397766,-0.399748648317934,0.00027513051967522034
