second_neighbor_family,count,mean,std,median,min,max
$\beta_2$-dominated,615,-2.4543702783254418e-05,0.0004940865922596532,-2.588828659382367e-05,-0.0015041091853728774,0.001776467275737063
mixed,5,0.001492448146712525,2.776482812066275e-05,0.0015127247102684459,0.0014620333013786433,0.0015127247102684459
$\alpha_2$-dominated,220,3.469152944614495e-05,0.0010050033451264536,3.533833246674587e-05,-0.0042501308594485475,0.003746416820587873
