feature,display_label,pc5_normal,tls_normal,difference
alpha0,$\alpha_0$,0.33555188056587115,0.33555188056587076,3.885780586188048e-16
alpha1_plus_2beta1,$\alpha_1 + 2\beta_1$,0.5119502503301984,0.5119502503301998,-1.4432899320127035e-15
alpha1_minus_beta1,$\alpha_1 - \beta_1$,0.5710221812182781,0.5710221812182771,9.992007221626409e-16
alpha2,$\alpha_2$,0.22110583450360233,0.22110583450360166,6.661338147750939e-16
beta2,$\beta_2$,0.5003576272434955,0.5003576272434949,6.661338147750939e-16
