,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,max_frequency
mass,1.0,0.0,0.010463998898825776,0.005461977723659674,0.001052136867277046,0.08887212026648209,-0.06373265263378228,-0.6688809812627882
a_val,0.0,1.0,-0.10146766048757427,-0.05607908119440963,-0.021675307150975213,-0.049021631272619895,0.14384915699944,-0.08591581352959396
alpha0,0.010463998898825776,-0.10146766048757427,1.0,-0.49727691741635544,-0.023407576614197328,0.17258301098781903,-0.24204023222392432,0.5776200007505483
alpha1,0.005461977723659674,-0.05607908119440963,-0.49727691741635544,1.0,0.0039315182373736894,0.13859271389219072,-0.5850850241062224,-0.1646215972910374
beta1,0.001052136867277046,-0.021675307150975213,-0.023407576614197328,0.0039315182373736894,1.0,-0.010406654954462004,0.05983944940176547,0.011429536374411263
alpha2,0.08887212026648209,-0.049021631272619895,0.17258301098781903,0.13859271389219072,-0.010406654954462004,1.0,-0.576775345564709,-0.05767262567406726
beta2,-0.06373265263378228,0.14384915699944,-0.24204023222392432,-0.5850850241062224,0.05983944940176547,-0.576775345564709,1.0,-0.1574638371925631
max_frequency,-0.6688809812627882,-0.08591581352959396,0.5776200007505483,-0.1646215972910374,0.011429536374411263,-0.05767262567406726,-0.1574638371925631,1.0
