,mass,a_val,alpha0,alpha1,beta1,alpha2,beta2,max_frequency
mass,1.0,7.976020079146637e-16,0.02548515659756285,0.008805092781186982,0.004955106627235477,0.05079783074315691,-0.04742459129214625,-0.6750685887620833
a_val,7.976020079146637e-16,1.0,-0.10336994725875788,-0.046083467714607244,-0.017036292152182806,-0.05362896124431759,0.13437021020079457,-0.09858876241033414
alpha0,0.02548515659756285,-0.10336994725875788,1.0,-0.5039206346258162,-0.03366937358464342,0.1466674591510082,-0.2840789551307184,0.5784794038682656
alpha1,0.008805092781186982,-0.046083467714607244,-0.5039206346258162,1.0,0.006932385760798537,0.08990574140613831,-0.5974821570784155,-0.18352203311077928
beta1,0.004955106627235477,-0.017036292152182806,-0.03366937358464342,0.006932385760798537,1.0,-0.046103299740600484,0.036843209868965165,-0.015411681728834236
alpha2,0.05079783074315691,-0.05362896124431759,0.1466674591510082,0.08990574140613831,-0.046103299740600484,1.0,-0.6207869943691027,-0.08519592292259522
beta2,-0.04742459129214625,0.13437021020079457,-0.2840789551307184,-0.5974821570784155,0.036843209868965165,-0.6207869943691027,1.0,-0.1858920953793204
max_frequency,-0.6750685887620833,-0.09858876241033414,0.5784794038682656,-0.18352203311077928,-0.015411681728834236,-0.08519592292259522,-0.1858920953793204,1.0
